period,sector,manager_type,value_usd,share,share_prev,d_share,value_prev,d_value
2020-09-30,Consumer Discretionary,Hedge Fund - Activist,474793000.0,0.4247437454935169,,,,
2020-09-30,ETF - Broad Equity,Hedge Fund - Activist,121782000.0,0.10894461968413915,,,,
2020-09-30,Health Care,Hedge Fund - Activist,113164000.0,0.10123506710298667,,,,
2020-09-30,Unclassified,Hedge Fund - Activist,408095000.0,0.36507656771935726,,,,
2020-12-31,Consumer Discretionary,Hedge Fund - Activist,471432000.0,0.31915360306323337,0.4247437454935169,-0.10559014243028353,474793000.0,-3361000.0
2020-12-31,Consumer Staples,Hedge Fund - Activist,86429000.0,0.058511358497412555,,,,
2020-12-31,ETF - Broad Equity,Hedge Fund - Activist,102947000.0,0.069693839142338,0.10894461968413915,-0.03925078054180116,121782000.0,-18835000.0
2020-12-31,Health Care,Hedge Fund - Activist,214425000.0,0.14516305922558037,0.10123506710298667,0.0439279921225937,113164000.0,101261000.0
2020-12-31,Unclassified,Hedge Fund - Activist,601899000.0,0.40747814007143573,0.36507656771935726,0.042401572352078476,408095000.0,193804000.0
2021-03-31,Communication Services,Hedge Fund - Value,547000.0,0.0003807503217583843,,,,
2021-03-31,Consumer Discretionary,Hedge Fund - Activist,408276000.0,0.27527831174286427,0.31915360306323337,-0.0438752913203691,471432000.0,-63156000.0
2021-03-31,Consumer Staples,Hedge Fund - Activist,216948000.0,0.14627624248300394,0.058511358497412555,0.08776488398559139,86429000.0,130519000.0
2021-03-31,ETF - Broad Equity,Hedge Fund - Activist,95257000.0,0.06422661665562028,0.069693839142338,-0.0054672224867177155,102947000.0,-7690000.0
2021-03-31,ETF - Commodity,Hedge Fund - Value,16313000.0,0.011354990857119787,,,,
2021-03-31,Energy,Hedge Fund - Value,82754000.0,0.05760258158463133,,,,
2021-03-31,Financials,Hedge Fund - Value,194183000.0,0.13516497208411032,,,,
2021-03-31,Health Care,Hedge Fund - Activist,139497000.0,0.0940552436420322,0.14516305922558037,-0.05110781558354817,214425000.0,-74928000.0
2021-03-31,Health Care,Hedge Fund - Value,101241000.0,0.07047082874797182,,,,
2021-03-31,Real Estate,Hedge Fund - Value,727000.0,0.0005060429322090409,,,,
2021-03-31,Unclassified,Hedge Fund - Activist,623161000.0,0.42016358547647925,0.40747814007143573,0.012685445405043516,601899000.0,21262000.0
2021-03-31,Unclassified,Hedge Fund - Value,1040872000.0,0.7245198334721993,,,,
2021-06-30,Consumer Discretionary,Hedge Fund - Activist,292900000.0,0.24168202105249262,0.27527831174286427,-0.03359629069037165,408276000.0,-115376000.0
2021-06-30,Consumer Staples,Hedge Fund - Activist,169971000.0,0.14024900921923258,0.14627624248300394,-0.006027233263771359,216948000.0,-46977000.0
2021-06-30,ETF - Broad Equity,Hedge Fund - Activist,139819000.0,0.11536954080416,0.06422661665562028,0.051142924148539715,95257000.0,44562000.0
2021-06-30,ETF - Broad Equity,Hedge Fund - Value,23278000.0,0.014610772730239868,,,,
2021-06-30,ETF - Commodity,Hedge Fund - Value,16891000.0,0.010601879980517296,0.011354990857119787,-0.0007531108766024915,16313000.0,578000.0
2021-06-30,Energy,Hedge Fund - Value,142262000.0,0.08929279792720096,0.05760258158463133,0.03169021634256963,82754000.0,59508000.0
2021-06-30,Financials,Hedge Fund - Value,190164000.0,0.1193591797179025,0.13516497208411032,-0.015805792366207827,194183000.0,-4019000.0
2021-06-30,Health Care,Hedge Fund - Activist,158330000.0,0.13064361349689707,0.0940552436420322,0.03658836985486487,139497000.0,18833000.0
2021-06-30,Health Care,Hedge Fund - Value,98628000.0,0.06190528794733644,0.07047082874797182,-0.008565540800635381,101241000.0,-2613000.0
2021-06-30,Materials,Hedge Fund - Value,15374000.0,0.009649713031820077,,,,
