cik,period,manager,submission_type,cover_parsed,is_amendment,report_type,file_number,other_managers_count,table_entry_total,table_value_total,confidential_omitted,reconciliation_gap_pct,accession,n_rows,source,amendment_type,text_format,used,unit_factor
1001085,2016-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,166.0,17140075.0,True,0.0,0000950123-16-021926,166,sec,,,False,1.0
1001085,2016-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,1.0,18173.0,False,0.0,0000950123-16-022635,1,sec,NEW HOLDINGS,,False,1.0
1001085,2016-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,1.0,1544.0,False,0.0,0000950123-16-022677,1,sec,NEW HOLDINGS,,False,1.0
1001085,2016-12-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,172.0,16460637.0,False,0.0,0000950123-17-002269,172,sec,,,False,1.0
1001085,2016-12-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,1.0,99967.0,False,0.0,0000950123-17-003037,1,sec,NEW HOLDINGS,,False,1.0
1001085,2016-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,1.0,80828.0,False,0.0,0000950123-17-003038,1,sec,NEW HOLDINGS,,False,1.0
1001085,2016-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,2.0,1167874.0,False,0.0,0000950123-17-003443,2,sec,NEW HOLDINGS,,False,1.0
1001085,2016-12-31,Brookfield Asset Management Inc.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,2.0,1146533.0,False,0.0,0000950123-17-003444,2,sec,NEW HOLDINGS,,False,1.0
1001085,2017-03-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,153.0,17172452.0,True,0.0,0000950123-17-005406,153,sec,,,False,1.0
1001085,2017-03-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,153.0,17239154.0,False,0.0,0000950123-17-005493,153,sec,RESTATEMENT,,False,1.0
1001085,2017-03-31,Brookfield Asset Management Inc.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,1.0,91585.0,False,0.0,0000950123-17-005522,1,sec,NEW HOLDINGS,,False,1.0
1001085,2017-06-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,158.0,18860677.0,True,-0.032,0000950123-17-007544,157,sec,,,False,1.0
1001085,2016-12-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,175.0,17707137.0,False,0.0,0000950123-17-008213,175,sec,RESTATEMENT,,True,1.0
1001085,2017-03-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,154.0,17330739.0,False,0.0,0000950123-17-008215,154,sec,RESTATEMENT,,True,1.0
1001085,2016-09-30,Brookfield Asset Management Inc.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,171.0,18408494.0,False,0.0,0000950123-17-008217,171,sec,RESTATEMENT,,True,1.0
1001085,2017-06-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,156.0,19469597.0,True,0.0,0000950123-17-008286,156,sec,RESTATEMENT,,True,1.0
1001085,2017-06-30,Brookfield Asset Management Inc.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,2.0,102249.0,False,0.0,0000950123-17-010717,2,sec,NEW HOLDINGS,,True,1.0
1001085,2017-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,166.0,21368544.0,True,0.0,0000950123-17-010730,166,sec,,,False,1000.0
1001085,2017-12-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,179.0,24305766.0,True,0.0,0000950123-18-001865,179,sec,,,False,1.0
1001085,2017-12-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,152.0,21378784.0,True,0.0,0000950123-18-002599,152,sec,RESTATEMENT,,True,1.0
1001085,2017-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,3.0,499950.0,False,0.0,0000950123-18-002829,2,sec,NEW HOLDINGS,,False,1000.0
1001085,2017-12-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,3.0,575841.0,False,0.0,0000950123-18-002831,2,sec,NEW HOLDINGS,,True,1.0
1001085,2018-03-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,318.0,29188504.0,True,0.0,0000950123-18-005630,318,sec,,,False,1000.0
1001085,2017-12-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,1.0,124982.0,False,0.0,0000950123-18-005836,1,sec,NEW HOLDINGS,,True,1.0
1001085,2018-03-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,229.0,23819637.0,True,0.0,0000950123-18-005848,229,sec,RESTATEMENT,,False,1000.0
1001085,2018-06-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,191.0,25982517.0,True,0.0,0000950123-18-008668,191,sec,,,False,1.0
1001085,2018-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,213.0,24373811.0,True,0.0,0000950123-18-011816,213,sec,,,False,1.0
1001085,2017-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,2.0,43920.0,True,0.0,0000950123-18-011972,2,sec,RESTATEMENT,,True,1000.0
1001085,2017-12-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,2.0,46028.0,False,0.0,0000950123-18-011980,2,sec,NEW HOLDINGS,,True,1.0
1001085,2018-06-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,2.0,38257.0,True,0.0,0000950123-18-011987,2,sec,RESTATEMENT,,False,1.0
1001085,2018-03-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,2.0,34011.0,True,0.0,0000950123-18-011996,2,sec,RESTATEMENT,,True,1000.0
1001085,2018-06-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,191.0,26744707.0,True,0.0,0000950123-18-012060,191,sec,RESTATEMENT,,True,1.0
1001085,2018-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,212.0,25047361.0,True,-0.0,0000950123-18-012062,212,sec,RESTATEMENT,,True,1.0
1001085,2018-06-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F HOLDINGS REPORT,028-14349,5.0,1.0,4751670.0,False,0.0,0000950123-18-012410,1,sec,NEW HOLDINGS,,True,1.0
1001085,2018-12-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,212.0,20136245.0,False,0.0,0000950123-19-002110,212,sec,,,True,1.0
1001085,2019-03-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,216.0,23766984.0,False,0.0,0000950123-19-005150,216,sec,,,True,1.0
1001085,2019-06-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F HOLDINGS REPORT,028-14349,5.0,229.0,23288696.0,False,-0.0,0000950123-19-008294,229,sec,,,True,1.0
1001085,2019-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F COMBINATION REPORT,028-14349,4.0,37.0,14196350.0,False,0.0,0000950123-19-010889,37,sec,,,False,1.0
1001085,2019-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F COMBINATION REPORT,028-14349,4.0,37.0,14859913.0,False,0.0,0000950123-19-011494,37,sec,RESTATEMENT,,True,1.0
1001085,2019-12-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F COMBINATION REPORT,028-14349,4.0,27.0,11686384.0,False,0.0,0000950123-20-001995,27,sec,,,False,1.0
1001085,2019-12-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR/A,True,True,13F COMBINATION REPORT,028-14349,4.0,27.0,11686914.0,False,0.0,0000950123-20-002602,27,sec,RESTATEMENT,,True,1.0
1001085,2020-03-31,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F COMBINATION REPORT,028-14349,4.0,25.0,8685034.0,True,-0.0,0000950123-20-005198,25,sec,,,True,1.0
1001085,2020-06-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F COMBINATION REPORT,028-14349,6.0,374.0,16804770.0,True,0.0,0000950123-20-008914,374,sec,,,True,1.0
1001085,2020-09-30,BROOKFIELD ASSET MANAGEMENT INC.,13F-HR,True,False,13F COMBINATION REPORT,028-14349,6.0,375.0,17494985.0,True,-0.0,0000950123-20-012056,375,sec,,,True,1.0
