cik,manager,manager_type,period,total_value_x,n_positions_x,ADD,EXIT,HOLD,NEW,TRIM,net_flow,gross_flow,price_effect,turnover,prev_value,value_chg_pct,total_value_y,n_positions_y,top10_weight,hhi,effective_n,options_share,put_share,etf_share,credit_share,inferred_type,inferred_conf,inferred_reason
1009207,"D. E. Shaw & Co., Inc.",Hedge Fund - Quant,2011-09-30,11209905000.0,121,,,,,,,,,,,,11209905000.0,121,0.269349294217926,0.014348865137150205,69.69192270202127,0.012283690182923048,0.007314870197383474,0.07993734112822544,0.0,Index / Broad Asset Manager,0.8,"121 positions, top-10 27%"
1009207,"D. E. Shaw & Co., Inc.",Hedge Fund - Quant,2011-12-31,22055780000.0,162,41.0,3.0,58.0,44.0,19.0,9722746977.240774,11783651511.3221,1123128022.759226,0.7084568684710445,11209905000.0,0.9675260405864279,22055780000.0,162,0.1599989662573711,0.008978339986236629,111.37916380232346,0.03960177332200448,0.0177253762959188,0.11020897923356145,0.0,Quant / Systematic,0.8,"162 positions, top-10 16%; turnover 71%"
1009207,"D. E. Shaw & Co., Inc.",Hedge Fund - Quant,2012-03-31,26132323000.0,162,38.0,8.0,75.0,8.0,41.0,2015934187.6124246,8111967659.830026,2060608812.3875754,0.3366792695628639,22055780000.0,0.1848287841101064,26132323000.0,162,0.19538308936407986,0.009680035955213159,103.30540140829255,0.04249021413059987,0.024746862343619433,0.11631177985975452,0.0,Quant / Systematic,0.8,"162 positions, top-10 20%; turnover 34%"
1009207,"D. E. Shaw & Co., Inc.",Hedge Fund - Quant,2012-06-30,25447982000.0,162,37.0,11.0,67.0,11.0,47.0,-353811983.4393425,9878244224.713514,-330529016.56065744,0.38302387799814347,26132323000.0,-0.026187530285769034,25447982000.0,162,0.21614711924898403,0.010929520860966428,91.49531921123726,0.035827163033988314,0.018714332633526697,0.1134813361625295,0.0,Quant / Systematic,0.8,"162 positions, top-10 22%; turnover 38%"
1009207,"D. E. Shaw & Co., Inc.",Hedge Fund - Quant,2012-09-30,28564032000.0,162,37.0,10.0,84.0,10.0,31.0,1656183194.1477604,10003839033.674128,1459866805.8522396,0.37043014295575527,25447982000.0,0.12244782317120473,28564032000.0,162,0.19414489523047726,0.009899060883917937,101.01968375854774,0.03845773593867981,0.01899206666621855,0.0947506990609729,0.0,Quant / Systematic,0.8,"162 positions, top-10 19%; turnover 37%"
1009207,"D. E. Shaw & Co., Inc.",Hedge Fund - Quant,2012-12-31,30281115000.0,162,41.0,10.0,68.0,10.0,43.0,1599528304.711299,11347997080.786057,117554695.28870109,0.3856901599986166,28564032000.0,0.06011346717438215,30281115000.0,162,0.22551649765868925,0.011342195918008377,88.16634867083077,0.036082951370846154,0.015281009302332494,0.1240326190102313,0.0,Quant / Systematic,0.8,"162 positions, top-10 23%; turnover 39%"
1009207,"D. E. Shaw & Co., Inc.",Hedge Fund - Quant,2013-03-31,37850096000.0,162,53.0,12.0,66.0,12.0,31.0,4711735743.400831,11341510956.177147,2857245256.599169,0.33293143596631936,30281115000.0,0.24995714325578833,37850096000.0,162,0.23516743524243638,0.01139809070169302,87.73399213707474,0.03536062365601398,0.009593687688401107,0.1214716602039794,0.0,Quant / Systematic,0.8,"162 positions, top-10 24%; turnover 33%"
1009207,"D. E. Shaw & Co., Inc.",Hedge Fund - Quant,2013-06-30,40302674000.0,162,37.0,12.0,75.0,12.0,38.0,1316516028.4510972,11979557497.16716,1136061971.548903,0.3065677005988952,37850096000.0,0.06479714080513821,40302674000.0,162,0.22227214998190942,0.011027509593154138,90.68230605945685,0.05375496921122405,0.02669222394523996,0.09770093666737845,0.0,Quant / Systematic,0.8,"162 positions, top-10 22%; turnover 31%"
1009207,"D. E. Shaw & Co., Inc.",Hedge Fund - Quant,2013-09-30,42430952000.0,162,38.0,16.0,68.0,16.0,40.0,232983673.91615438,17215078563.589962,1895294326.0838456,0.4161567526023811,40302674000.0,0.05280736459322766,42430952000.0,162,0.22862763013189052,0.011236382441131131,88.99661481256356,0.030334223941051335,0.014470497857318874,0.09227405503416468,0.0,Quant / Systematic,0.8,"162 positions, top-10 23%; turnover 42%"
1009207,"D. E. Shaw & Co., Inc.",Hedge Fund - Quant,2013-12-31,48319965000.0,162,36.0,14.0,76.0,14.0,36.0,1934411884.2288806,15079321203.692434,3954601115.771119,0.3323232800764412,42430952000.0,0.13879049897348517,48319965000.0,162,0.23938585220415617,0.011720059486168133,85.32379901144593,0.018240493344728208,0.011803071463317492,0.08863319747851639,0.0,Quant / Systematic,0.8,"162 positions, top-10 24%; turnover 33%"
