period,manager_type,sector,net_flow,gross_flow
2023-12-31,Asset Manager - Active,Communication Services,239174303.52568185,4438633980.722809
2023-12-31,Asset Manager - Active,Consumer Discretionary,2420767716.355806,6391703542.320959
2023-12-31,Asset Manager - Active,Consumer Staples,1146713497.4344985,2837368601.379643
2023-12-31,Asset Manager - Active,ETF - Broad Equity,1751794494.2021878,4368471943.4646225
2023-12-31,Asset Manager - Active,ETF - Commodity,-16547531.286531545,38392099.751560025
2023-12-31,Asset Manager - Active,ETF - Fixed Income,1206716851.3726904,4171516098.6929326
2023-12-31,Asset Manager - Active,ETF - International Equity,395884974.5125366,465681909.4905327
2023-12-31,Asset Manager - Active,ETF - Sector,4406817.406945744,8516349.456547452
2023-12-31,Asset Manager - Active,ETF - Thematic,252419.25502620725,308132.8126627736
2023-12-31,Asset Manager - Active,Energy,-716075361.0173755,5812243249.205883
2023-12-31,Asset Manager - Active,Financials,4571550465.063959,8422762439.599196
2023-12-31,Asset Manager - Active,Health Care,-3344990878.3042336,11718980252.278137
2023-12-31,Asset Manager - Active,Industrials,-1592085224.7756867,3199577187.2999477
2023-12-31,Asset Manager - Active,Information Technology,864071986.9729486,9200158854.268518
2023-12-31,Asset Manager - Active,Materials,-60404554.129546165,1221350949.119687
2023-12-31,Asset Manager - Active,Real Estate,205365775.2350591,1429326441.1137471
2023-12-31,Asset Manager - Active,Unclassified,-3117851086.3475738,57760126001.51262
2023-12-31,Asset Manager - Active,Utilities,672122809.8770053,1151750562.055874
2023-12-31,Asset Manager - Growth,Communication Services,-326604858.22889584,1089557143.1888957
2023-12-31,Asset Manager - Growth,Consumer Discretionary,-950624750.4842346,3126888748.8212137
2023-12-31,Asset Manager - Growth,Consumer Staples,-2561918.751864518,18931859.2501404
2023-12-31,Asset Manager - Growth,Energy,528064738.95371675,629578514.9860082
2023-12-31,Asset Manager - Growth,Financials,-186330626.0915431,394115983.33742636
2023-12-31,Asset Manager - Growth,Health Care,415813519.7582826,598146880.5798833
2023-12-31,Asset Manager - Growth,Industrials,-12588777.73673287,70436032.70536995
2023-12-31,Asset Manager - Growth,Information Technology,-28991749.753979865,758081983.1896176
2023-12-31,Asset Manager - Growth,Materials,-65892512.52680494,90271955.11145736
2023-12-31,Asset Manager - Growth,Real Estate,-1308024.7785389833,40599022.76107779
2023-12-31,Asset Manager - Growth,Unclassified,-1120655416.270712,5713961557.598244
2023-12-31,Asset Manager - Growth,Utilities,25932946.67469879,25932946.67469879
2023-12-31,Asset Manager - Index,Communication Services,8252976692.769613,8983244261.612682
2023-12-31,Asset Manager - Index,Consumer Discretionary,9725843743.164171,13262126829.931667
2023-12-31,Asset Manager - Index,Consumer Staples,2032801167.0259664,3766892143.1246767
2023-12-31,Asset Manager - Index,ETF - Broad Equity,2506301954.0841336,3187349333.036606
2023-12-31,Asset Manager - Index,ETF - Commodity,26604499.013756808,26604499.013756808
2023-12-31,Asset Manager - Index,ETF - Fixed Income,470195795.9245246,972839539.3105664
2023-12-31,Asset Manager - Index,ETF - International Equity,-47801489.33676166,453836018.54272604
2023-12-31,Asset Manager - Index,ETF - Sector,66168198.046796724,555137209.4916807
2023-12-31,Asset Manager - Index,Energy,3312129355.1658416,8264808386.023734
2023-12-31,Asset Manager - Index,Financials,11032420940.82727,15374514185.824598
2023-12-31,Asset Manager - Index,Health Care,2948008110.970488,11276100969.134161
2023-12-31,Asset Manager - Index,Industrials,5377496625.229146,7725033160.773446
2023-12-31,Asset Manager - Index,Information Technology,32390335114.57811,33288258055.778473
2023-12-31,Asset Manager - Index,Materials,2284203206.786106,2950119595.8288956
2023-12-31,Asset Manager - Index,Real Estate,1290712688.9330359,2354838454.813695
2023-12-31,Asset Manager - Index,Unclassified,10879090453.653397,76432755351.09859
2023-12-31,Asset Manager - Index,Utilities,528326105.97853076,754577153.0349518
2023-12-31,Asset Manager - Index/Active,Communication Services,2730009351.6045275,4646856823.372929
2023-12-31,Asset Manager - Index/Active,Consumer Discretionary,4364520340.731587,9073030908.089075
2023-12-31,Asset Manager - Index/Active,Consumer Staples,1201864262.9853337,3286956965.529879
2023-12-31,Asset Manager - Index/Active,ETF - Broad Equity,5444093874.292446,9921962308.269821
2023-12-31,Asset Manager - Index/Active,ETF - Commodity,12686724.078968808,69762342.56154592
2023-12-31,Asset Manager - Index/Active,ETF - Fixed Income,647592295.0812709,3782933028.3784513
2023-12-31,Asset Manager - Index/Active,ETF - International Equity,-28592333.212598644,635343500.991804
2023-12-31,Asset Manager - Index/Active,ETF - Sector,31960092.607593663,159108075.98928246
2023-12-31,Asset Manager - Index/Active,ETF - Thematic,44594678.0,44594678.0
2023-12-31,Asset Manager - Index/Active,Energy,1638997365.0843143,5693142505.470757
2023-12-31,Asset Manager - Index/Active,Financials,5235603274.5222645,10564004127.220928
2023-12-31,Asset Manager - Index/Active,Health Care,-1403597336.1447208,10077925910.371452
2023-12-31,Asset Manager - Index/Active,Industrials,4179482623.192111,5149105992.590966
2023-12-31,Asset Manager - Index/Active,Information Technology,13687328370.730778,16525638981.335041
2023-12-31,Asset Manager - Index/Active,Materials,679008393.9940419,2231479568.702064
2023-12-31,Asset Manager - Index/Active,Real Estate,1742973443.6880684,2598898354.889307
2023-12-31,Asset Manager - Index/Active,Unclassified,7913989412.372555,73343674670.71594
2023-12-31,Asset Manager - Index/Active,Utilities,-776581061.540525,1024036559.4397757
2023-12-31,Asset Manager - Value,Communication Services,-1039629258.193347,1601156531.1830919
2023-12-31,Asset Manager - Value,Consumer Discretionary,-726462946.2927446,1132528115.2574902
2023-12-31,Asset Manager - Value,Consumer Staples,246461273.1148598,268418433.21226263
2023-12-31,Asset Manager - Value,ETF - Broad Equity,11669841.054501243,11669841.054501243
2023-12-31,Asset Manager - Value,ETF - International Equity,771885.0,771885.0
2023-12-31,Asset Manager - Value,Energy,-21134818.599357486,1960584978.0584106
2023-12-31,Asset Manager - Value,Financials,-165361813.0352273,3971442129.8640895
2023-12-31,Asset Manager - Value,Health Care,222486234.49034947,526979964.0098673
2023-12-31,Asset Manager - Value,Industrials,575028336.0945811,1971604902.4749143
2023-12-31,Asset Manager - Value,Information Technology,-1524986700.015931,2055514595.8335705
2023-12-31,Asset Manager - Value,Materials,-32026.573021181717,32026.573021181717
2023-12-31,Asset Manager - Value,Real Estate,8605488.420786211,21215729.546180546
2023-12-31,Asset Manager - Value,Unclassified,-816909209.1350634,15988775727.023222
2023-12-31,Asset Manager - Value,Utilities,0.0,0.0
2023-12-31,Conglomerate / Long-only Value,Financials,2702162220.0,2702162220.0
2023-12-31,Family Office - Macro,Communication Services,1699906.7282398294,53816570.66753831
2023-12-31,Family Office - Macro,Consumer Discretionary,-333189086.3426702,423225146.972479
2023-12-31,Family Office - Macro,Consumer Staples,28805000.0,28805000.0
2023-12-31,Family Office - Macro,ETF - Broad Equity,240501258.5842175,915740738.5842175
2023-12-31,Family Office - Macro,ETF - Fixed Income,-23975700.0,565705700.0
2023-12-31,Family Office - Macro,ETF - International Equity,0.0,0.0
2023-12-31,Family Office - Macro,ETF - Sector,-96746048.0,97668752.0
2023-12-31,Family Office - Macro,ETF - Thematic,-19835000.0,19835000.0
2023-12-31,Family Office - Macro,Energy,-7375656.881990665,25957723.118009336
2023-12-31,Family Office - Macro,Financials,94904895.9622071,215448122.69364795
2023-12-31,Family Office - Macro,Health Care,-314791690.5413979,484982263.8839405
2023-12-31,Family Office - Macro,Industrials,-4778928.899462663,18198002.28112427
2023-12-31,Family Office - Macro,Information Technology,-172612671.7299201,332476353.56865406
2023-12-31,Family Office - Macro,Materials,77225.74238522333,77225.74238522333
2023-12-31,Family Office - Macro,Real Estate,18944.0,18944.0
2023-12-31,Family Office - Macro,Unclassified,593321990.4832743,2902414331.680959
2023-12-31,Family Office - Macro,Utilities,-11649960.0,11649960.0
2023-12-31,Foundation / Endowment,Communication Services,-16348741.0,16348741.0
2023-12-31,Foundation / Endowment,Consumer Discretionary,-18046120.0,18046120.0
2023-12-31,Foundation / Endowment,Consumer Staples,-4994702.0,4994702.0
2023-12-31,Foundation / Endowment,ETF - Broad Equity,-8057711.0,8057711.0
2023-12-31,Foundation / Endowment,ETF - Sector,-5738154.0,5738154.0
2023-12-31,Foundation / Endowment,Energy,-10896342.0,10896342.0
2023-12-31,Foundation / Endowment,Financials,-952474629.2753881,952474629.2753881
2023-12-31,Foundation / Endowment,Health Care,-21078346.0,21078346.0
2023-12-31,Foundation / Endowment,Industrials,-147945817.06418014,147945817.06418014
2023-12-31,Foundation / Endowment,Information Technology,-433129635.0467539,433129635.0467539
2023-12-31,Foundation / Endowment,Materials,-1918000.0,1918000.0
2023-12-31,Foundation / Endowment,Real Estate,-1808949.9999999998,1808949.9999999998
2023-12-31,Foundation / Endowment,Unclassified,-13255258.0,33710524.0
2023-12-31,Hedge Fund - Activist,Communication Services,595264886.8741721,780534529.1258279
2023-12-31,Hedge Fund - Activist,Consumer Discretionary,-1791525938.594623,1797155938.594623
2023-12-31,Hedge Fund - Activist,Consumer Staples,205115959.0,205115959.0
2023-12-31,Hedge Fund - Activist,ETF - Broad Equity,5161357852.0,5161357852.0
2023-12-31,Hedge Fund - Activist,ETF - Fixed Income,0.0,0.0
2023-12-31,Hedge Fund - Activist,ETF - Sector,430697899.99999994,1160633900.0
2023-12-31,Hedge Fund - Activist,Energy,-348170906.24,348170906.24
2023-12-31,Hedge Fund - Activist,Financials,-460195630.1836312,460195630.1836312
2023-12-31,Hedge Fund - Activist,Health Care,370156126.17994857,386592818.17994857
2023-12-31,Hedge Fund - Activist,Industrials,-107946694.01001757,221102905.98998243
2023-12-31,Hedge Fund - Activist,Information Technology,-109411047.7095225,360782567.7095225
2023-12-31,Hedge Fund - Activist,Materials,0.0,0.0
2023-12-31,Hedge Fund - Activist,Real Estate,197594554.77830312,197594554.77830312
2023-12-31,Hedge Fund - Activist,Unclassified,65721040.86714097,5336864780.128252
2023-12-31,Hedge Fund - Activist,Utilities,97894.0,97894.0
2023-12-31,Hedge Fund - Contrarian Value,Communication Services,6624980.75,11688319.25
2023-12-31,Hedge Fund - Contrarian Value,Consumer Discretionary,9331420.0,26524780.0
2023-12-31,Hedge Fund - Contrarian Value,ETF - Broad Equity,-47365000.0,47365000.0
2023-12-31,Hedge Fund - Contrarian Value,Energy,1452375.0,6508375.0
2023-12-31,Hedge Fund - Contrarian Value,Financials,5144000.0,5144000.0
2023-12-31,Hedge Fund - Contrarian Value,Health Care,10546000.0,10546000.0
2023-12-31,Hedge Fund - Contrarian Value,Information Technology,5271500.0,5271500.0
2023-12-31,Hedge Fund - Contrarian Value,Unclassified,3128465.1595458663,34009900.84045413
2023-12-31,Hedge Fund - Event Driven,Communication Services,-63261709.99999997,452386290.0
2023-12-31,Hedge Fund - Event Driven,Consumer Discretionary,-72931200.0,72931200.0
2023-12-31,Hedge Fund - Event Driven,ETF - Sector,-29465000.0,29465000.0
2023-12-31,Hedge Fund - Event Driven,Energy,0.0,0.0
2023-12-31,Hedge Fund - Event Driven,Financials,-201330602.62,436822602.62
2023-12-31,Hedge Fund - Event Driven,Health Care,-475044511.0,549287911.0
2023-12-31,Hedge Fund - Event Driven,Industrials,-197024000.0,197024000.0
2023-12-31,Hedge Fund - Event Driven,Information Technology,-159678400.0,159678400.0
2023-12-31,Hedge Fund - Event Driven,Materials,0.0,0.0
2023-12-31,Hedge Fund - Event Driven,Real Estate,0.0,0.0
2023-12-31,Hedge Fund - Event Driven,Unclassified,328171360.1666181,847898760.1666181
2023-12-31,Hedge Fund - Event Driven,Utilities,0.0,0.0
2023-12-31,Hedge Fund - Global Macro,Communication Services,235239583.4280005,555665005.9858108
2023-12-31,Hedge Fund - Global Macro,Consumer Discretionary,-239156695.3685001,938035512.5312778
2023-12-31,Hedge Fund - Global Macro,Consumer Staples,-97092008.0523413,799567796.9643456
2023-12-31,Hedge Fund - Global Macro,ETF - Broad Equity,420726425.13000906,1311749004.0862734
2023-12-31,Hedge Fund - Global Macro,ETF - Commodity,-14460500.648226436,64961457.35177356
2023-12-31,Hedge Fund - Global Macro,ETF - Fixed Income,-161845616.59847945,182714900.5591341
2023-12-31,Hedge Fund - Global Macro,ETF - International Equity,117038973.47759746,180496524.61455232
2023-12-31,Hedge Fund - Global Macro,ETF - Sector,134205990.24568348,226153960.75974554
2023-12-31,Hedge Fund - Global Macro,ETF - Thematic,859444.0,859444.0
